2015,06,24, NatusVincere, 10, Virtus.pro, 16, cobblestone, 14, 22, 0.75 
2015,06,24, Virtus.pro, 16, NatusVincere, 06, inferno, 12, 19, 0.67 
2015,06,23, NatusVincere, 06, mousesports, 16, dust2, 17, 16, 1.13 
2015,06,23, mousesports, 16, NatusVincere, 05, mirage, 08, 17, 0.69 
2015,06,21, EnVyUs, 23, NatusVincere, 25, inferno, 37, 36, 1.09 
2015,06,21, EnVyUs, 04, NatusVincere, 16, overpass, 11, 09, 1.00 
2015,06,21, EnVyUs, 16, NatusVincere, 10, dust2, 12, 18, 0.73 
2015,06,21, NatusVincere, 16, EnVyUs, 14, cobblestone, 24, 20, 1.12 
2015,06,21, NatusVincere, 16, FlipSid3, 05, inferno, 13, 11, 0.96 
2015,06,21, NatusVincere, 16, FlipSid3, 04, cobblestone, 17, 08, 1.40 
2015,06,20, EnVyUs, 16, NatusVincere, 13, dust2, 21, 17, 1.04 
2015,06,20, NatusVincere, 16, HellRaisers, 11, overpass, 18, 17, 0.95 
2015,06,19, 0G2, 16, NatusVincere, 08, cobblestone, 15, 17, 0.83 
2015,06,19, NatusVincere, 16, GPlay, 14, inferno, 19, 19, 0.96 
2015,06,19, NatusVincere, 16, FlipSid3, 13, cobblestone, 22, 17, 1.07 
2015,06,18, PENTA, 03, NatusVincere, 16, dust2, 11, 08, 1.11 
2015,06,18, Titan, 16, NatusVincere, 11, overpass, 18, 23, 0.74 
2015,06,17, Virtus.pro, 16, NatusVincere, 08, cache, 17, 17, 0.93 
2015,06,17, NatusVincere, 09, fnatic, 16, cobblestone, 16, 21, 0.79 
2015,06,15, fnatic, 16, NatusVincere, 14, train, 16, 20, 0.79 
2015,06,15, NatusVincere, 09, fnatic, 16, mirage, 14, 19, 0.76 
2015,06,15, NatusVincere, 16, Titan, 07, inferno, 13, 11, 0.95 
2015,06,15, Titan, 11, NatusVincere, 16, overpass, 21, 18, 1.18 
2015,06,15, NatusVincere, 11, Titan, 16, cobblestone, 25, 18, 1.24 
2015,06,14, NatusVincere, 16, NiP, 13, cobblestone, 22, 22, 1.05 
2015,06,14, Kinguin, 09, NatusVincere, 16, mirage, 17, 15, 0.99 
2015,06,11, HellRaisers, 19, NatusVincere, 16, inferno, 15, 24, 0.71 
2015,06,11, NatusVincere, 12, EnVyUs, 16, cache, 23, 22, 1.05 
2015,06,11, Virtus.pro, 16, NatusVincere, 02, cobblestone, 11, 18, 0.61 
2015,06,11, NatusVincere, 16, FlipSid3, 03, overpass, 14, 07, 1.24 
